filename,rmse,function
Ples_202_run09_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run09_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run09_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_202_run09_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
Ples_202_run09_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_202_run09_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
Ples_202_run23_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run23_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_202_run23_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run23_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run23_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_202_run23_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
Ples_202_run23_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_202_run23_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
Ples_202_run24_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,367.45,rmse_sig
Ples_202_run24_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,377.24,rmse_lin
Ples_202_run24_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run24_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,378.05,rmse_exp
Ples_202_run24_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_202_run24_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,179.05,rmse_lin
Ples_202_run24_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_202_run24_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,179.05,rmse_exp
Ples_202_run25_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,398.64,rmse_sig
Ples_202_run25_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,407.75,rmse_lin
Ples_202_run25_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run25_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,408.98,rmse_exp
Ples_202_run25_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_202_run25_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
Ples_202_run25_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_202_run25_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
Ples_202_run26_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,79.51,rmse_sig
Ples_202_run26_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,136.64,rmse_lin
Ples_202_run26_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run26_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,152.8,rmse_exp
Ples_202_run26_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,138.0,rmse_sig
Ples_202_run26_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,143.79,rmse_lin
Ples_202_run26_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,143.27,rmse_log
Ples_202_run26_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,143.35,rmse_exp
Ples_203_run10_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,242.64,rmse_sig
Ples_203_run10_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,253.66,rmse_lin
Ples_203_run10_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_203_run10_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,252.79,rmse_exp
Ples_203_run10_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_203_run10_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
