,direction_of_running,stepphase_L1,stepphase_L2,stepphase_L3,stepphase_L4,stepphase_R1,stepphase_R2,stepphase_R3,stepphase_R4,ext-flex-dist_L1,ext-flex-dist_L2,ext-flex-dist_L3,ext-flex-dist_L4,ext-flex-dist_R1,ext-flex-dist_R2,ext-flex-dist_R3,ext-flex-dist_R4,ext-flex-phase_L1,ext-flex-phase_L2,ext-flex-phase_L3,ext-flex-phase_L4,ext-flex-phase_R1,ext-flex-phase_R2,ext-flex-phase_R3,ext-flex-phase_R4,body_speed_MMperS
11,RIGHT,b'stance0001',b'stance0001',b'stance0001',b'swing0001',b'swing0001',b'swing0001',b'swing0001',b'swing0001',3.9268359375268793,6.716164608755954,6.042700368083331,9.177044564833883,4.685106445229496,5.12774280522322,5.791742374607526,7.059031509594767,flex,ext,ext,flex,ext,flex,flex,ext,0.007227448788039159
12,RIGHT,b'stance0001',b'stance0001',b'stance0001',b'swing0001',b'stance0002',b'stance0002',b'swing0001',b'swing0001',3.795355258024798,5.699326457652869,6.186667638553179,8.27900573853802,6.366536481206365,3.6610948652954303,5.871202765210093,7.573639787003326,flex,flex,ext,flex,ext,flex,ext,ext,0.007770284144494773
13,RIGHT,b'stance0001',b'stance0001',b'stance0001',b'swing0001',b'swing0002',b'stance0002',b'swing0001',b'swing0001',4.265135080081718,5.07051190723856,7.157992327907937,7.198589090314058,6.308959603084735,3.6426800340408243,5.184060626054739,6.656288800679913,ext,flex,ext,flex,flex,flex,flex,flex,0.007497646989699161
14,RIGHT,b'stance0001',b'stance0001',b'stance0001',b'stance0001',b'stance0003',b'swing0002',b'stance0002',b'swing0001',4.484697785897452,4.452515776168225,7.209824273575897,7.2458633202326945,7.434323324745052,4.256892085606251,5.405165454373694,6.253551433472527,ext,flex,ext,ext,ext,ext,ext,flex,0.008180437131227349
15,RIGHT,b'stance0001',b'swing0002',b'stance0001',b'stance0001',b'stance0003',b'swing0002',b'swing0002',b'swing0001',3.4793417054090687,4.767613707199367,5.13005579581116,7.298365222591547,6.986871892014292,4.867335707873961,6.742937892394705,7.186586391276724,flex,ext,flex,ext,flex,ext,ext,ext,0.008631222356629805
16,RIGHT,b'stance0001',b'swing0002',b'stance0001',b'stance0001',b'stance0003',b'swing0002',b'swing0002',b'swing0001',2.887518024745689,3.9998045618168456,4.937847977392063,5.919472066753622,7.7372182394386115,5.470242213585676,6.786850676151877,7.988941617979844,flex,flex,flex,flex,ext,ext,ext,ext,0.008672088787621931
17,RIGHT,b'stance0001',b'swing0002',b'stance0001',b'stance0001',b'stance0003',b'swing0002',b'swing0002',b'stance0001',2.4542230926796598,3.389126242692457,4.084311574989206,6.662680867226704,6.5635241115314535,6.651678450129125,6.766577236773145,8.332290166443624,flex,flex,flex,ext,flex,ext,flex,ext,0.005630628187875152
18,RIGHT,b'stance0001',b'swing0002',b'stance0001',b'stance0001',b'stance0003',b'stance0003',b'swing0002',b'swing0002',2.0193036643045503,3.757331223046989,4.679021562383195,8.291079343897138,6.294448921960494,6.372197593324255,6.932505633340883,7.595533492343506,flex,ext,ext,ext,flex,flex,ext,flex,0.0063757649296368795
19,RIGHT,b'swing0001',b'swing0002',b'stance0001',b'stance0001',b'stance0003',b'stance0003',b'stance0003',b'swing0002',2.28745405686175,,,8.91611572740161,6.801079305137617,,6.043122678201353,6.038697923106625,ext,,,ext,ext,,flex,flex,0.009353800229095464
20,RIGHT,b'swing0001',b'swing0002',b'stance0001',b'stance0001',b'swing0003',b'stance0003',b'swing0003',b'swing0002',2.884218046347288,,,10.354387420869728,6.100787893103056,,6.815225127297638,6.305846172471011,ext,,,ext,flex,,ext,ext,0.003927848679234181
