,direction_of_running,stepphase_L1,stepphase_L2,stepphase_L3,stepphase_L4,stepphase_R1,stepphase_R2,stepphase_R3,stepphase_R4,ext-flex-dist_L1,ext-flex-dist_L2,ext-flex-dist_L3,ext-flex-dist_L4,ext-flex-dist_R1,ext-flex-dist_R2,ext-flex-dist_R3,ext-flex-dist_R4,ext-flex-phase_L1,ext-flex-phase_L2,ext-flex-phase_L3,ext-flex-phase_L4,ext-flex-phase_R1,ext-flex-phase_R2,ext-flex-phase_R3,ext-flex-phase_R4,body_speed_MMperS
10,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'stance0001',7.863527173157855,11.785617422959422,11.06007304196704,10.555640617815575,10.026821632280045,9.65259009021326,8.808865051689546,15.850988571251303,ext,ext,ext,flex,flex,ext,flex,flex,0.007522633852136706
11,RIGHT,b'nan',b'stance0001',b'swing0001',b'nan',b'nan',b'nan',b'nan',b'stance0001',8.414514696390444,12.999003934278779,10.759001518755447,9.966074582985579,10.602179346542128,8.733480647569326,9.048084589006358,16.15680776053104,ext,ext,flex,flex,ext,flex,ext,ext,0.008114113182642673
12,RIGHT,b'nan',b'stance0001',b'swing0001',b'nan',b'stance0001',b'nan',b'nan',b'stance0001',9.643889207769178,14.113594902991158,12.316750631727682,11.041682103305945,10.564351213655442,7.9363203828503215,9.927447351066105,16.193231148819297,ext,ext,ext,ext,flex,flex,ext,ext,0.006279500627963826
13,RIGHT,b'nan',b'stance0001',b'swing0001',b'nan',b'stance0001',b'nan',b'nan',b'stance0001',10.187901766974557,13.063289542941623,12.16403424399337,12.938380900820635,11.784409627045644,7.458655390111372,10.825680217932543,16.080294812767924,ext,flex,flex,ext,ext,flex,ext,flex,0.006802683952112189
14,RIGHT,b'nan',b'stance0001',b'swing0001',b'nan',b'stance0001',b'nan',b'nan',b'swing0001',10.295029494531116,10.280952160309104,11.19201928109608,14.791088678063046,13.231620484798091,6.500587776938396,10.890397471009454,15.928694967261787,ext,flex,flex,ext,ext,flex,ext,flex,0.008801791574660059
15,RIGHT,b'nan',b'stance0001',b'swing0001',b'nan',b'stance0001',b'swing0001',b'nan',b'swing0001',10.505947096994598,7.620666396587349,11.925974996768002,16.71424755262345,13.510636731268947,7.071426822477044,10.769420509343112,16.85991650601569,ext,flex,ext,ext,ext,ext,flex,ext,0.006569448488562947
16,RIGHT,b'nan',b'swing0001',b'swing0001',b'nan',b'stance0001',b'swing0001',b'swing0001',b'swing0001',11.229472555466051,13.687911998397917,10.956510239850902,17.62805580466347,12.45454030309976,7.901661722200735,10.162431745126604,17.244082171809797,ext,ext,flex,ext,flex,ext,flex,ext,0.006238797553627965
17,RIGHT,b'stance0001',b'swing0001',b'swing0001',b'nan',b'stance0001',b'swing0001',b'swing0001',b'swing0001',12.505108633478702,11.523566232453193,10.945656524635693,18.41475974933577,10.791078533359034,6.9000643655473395,10.554310670209594,15.944818907941684,ext,flex,flex,ext,flex,flex,ext,flex,0.009544410825038147
18,RIGHT,b'stance0001',b'swing0001',b'stance0001',b'nan',b'stance0001',b'swing0001',b'swing0001',b'stance0002',14.655145721423533,5.747449933697121,10.944229694908055,17.861380643567454,9.925148114893092,6.487627104122073,10.824241698613159,14.267496747969549,ext,flex,flex,flex,flex,flex,ext,flex,0.006223442114271287
19,RIGHT,b'stance0001',b'swing0001',b'stance0001',b'swing0001',b'swing0001',b'swing0001',b'swing0001',b'stance0002',14.976757508709497,6.784508789267045,11.480378937099166,18.774947280652892,8.220949167298562,5.648426838541454,10.758924640978849,13.792595015245015,ext,ext,ext,ext,flex,flex,flex,flex,0.008896471126686142
20,RIGHT,b'stance0001',b'swing0001',b'stance0001',b'swing0001',b'swing0001',b'swing0001',b'swing0001',b'stance0002',14.225913870744243,10.384355142112653,12.411978087697666,19.44162639487809,10.081445862928216,5.856160344891508,10.468587337404509,12.932885617314842,flex,ext,ext,ext,ext,ext,flex,flex,0.009989634894770123
21,RIGHT,b'stance0001',b'swing0001',b'stance0001',b'swing0001',b'swing0001',b'swing0001',b'swing0001',b'stance0002',12.09202329398684,13.68553602277103,12.109804445717561,20.52814865653162,11.578333710059303,8.445260513569274,9.863136867020758,12.54635854473755,flex,ext,flex,ext,ext,ext,flex,flex,0.008569302871320284
22,RIGHT,b'stance0001',b'swing0001',b'stance0001',b'swing0001',b'swing0001',b'swing0001',b'swing0001',b'stance0002',8.751955699821997,13.23919281027247,11.894276174625027,19.401659239747058,10.957885894574003,9.038428211643808,8.511145066726622,14.036469532822359,flex,flex,flex,flex,flex,ext,flex,ext,0.007430249213884724
23,RIGHT,b'swing0001',b'stance0002',b'stance0001',b'swing0001',b'swing0001',b'stance0001',b'stance0001',b'stance0002',7.653615239494984,13.835685919344993,11.246330569213153,17.858662536738844,10.777703636278362,10.500649710889682,8.00391311423557,17.61728021020802,flex,ext,flex,flex,flex,ext,flex,ext,0.008891377416626935
24,RIGHT,b'swing0001',b'stance0002',b'stance0001',b'swing0001',b'swing0001',b'stance0001',b'stance0001',b'stance0002',8.997104414270863,15.12720564562901,12.800233083446114,16.1340035362832,11.547043440446945,11.057162921993834,8.737241311306567,19.312735907129074,ext,ext,ext,flex,ext,ext,ext,ext,0.007514673390426469
25,RIGHT,b'swing0001',b'swing0002',b'stance0001',b'swing0001',b'swing0001',b'stance0001',b'stance0001',b'swing0002',10.453934967598622,15.392736788410746,13.711637232809512,15.748208821262025,10.991774358868435,9.74463057808125,8.04500049912958,18.669132917139304,ext,ext,ext,flex,flex,flex,flex,flex,0.007073660963764336
26,RIGHT,b'swing0001',b'swing0002',b'swing0002',b'stance0001',b'stance0002',b'stance0001',b'stance0001',b'swing0002',11.726253170839469,14.019028578447976,14.541884667486896,14.36911928193003,13.04147627813157,9.606638323858473,8.598221800876154,16.702573176331118,ext,flex,ext,flex,ext,flex,ext,flex,0.008549375309456
27,RIGHT,b'swing0001',b'stance0003',b'swing0002',b'stance0001',b'stance0002',b'stance0001',b'stance0001',b'swing0002',12.356006239984765,12.91838608946259,12.915633720042107,13.873565885919929,13.580794636087662,7.981554560480321,10.470588923072484,15.978135585939704,ext,flex,flex,flex,ext,flex,ext,flex,0.00848445804331755
28,RIGHT,b'swing0001',b'stance0003',b'swing0002',b'stance0001',b'stance0002',b'stance0001',b'stance0001',b'swing0002',12.541302246015807,11.038299353260035,12.010422641894733,14.732060572293495,13.250108154152166,6.820715156333717,12.074577812015296,16.046984629205404,ext,flex,flex,ext,flex,flex,ext,ext,0.009362243542636674
29,RIGHT,b'swing0001',b'stance0003',b'swing0002',b'stance0001',b'stance0002',b'swing0002',b'stance0001',b'swing0002',11.42522500464775,11.404968251714951,11.452496472340679,16.386254460346876,13.851585048534378,6.814552383852374,11.93655013171669,15.930046938640464,flex,ext,flex,ext,ext,flex,flex,flex,0.008678680540009314
30,RIGHT,b'swing0001',b'stance0003',b'swing0002',b'stance0001',b'stance0002',b'swing0002',b'stance0001',b'swing0002',10.773371556300008,12.558989716736141,12.310765053619168,17.720563467920503,13.924010738613905,6.231423603374554,11.454287146556654,16.0676252670694,flex,ext,ext,ext,ext,flex,flex,ext,0.00902886802759798
31,RIGHT,b'swing0001',b'stance0003',b'swing0002',b'stance0001',b'stance0002',b'swing0002',b'swing0002',b'swing0002',10.413056641987566,14.692371146624511,12.152041894785901,19.52869903837187,12.996502702269602,7.180563118615157,11.100172625108303,15.21012770022687,flex,ext,flex,ext,flex,ext,flex,flex,0.005978470710172723
