,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_to1,hl_to1-hl_to
20,UP,4.110147198597037,3878.96,b'stance0001',b'stride0002',b'stance0002',b'stride0002',251.11186795634038,,,264.96577120770456,,88.84978526898321,,56.88958581211381,33.126848044679086,,,,,52.9146096049417,,78.47295158499064,,34.10451953120712,,34.10451953120712,,24.761288409241132,,-2.0538029314284074,151.76392339376514,155.55485551589038,159.6021696652681,176.7315627101362,84.71838337004006,119.07226137526888,101.5386081322657,127.56721471231498,69.08844534217532,54.143504965949255,60.51038264563583,52.046639335099115,32.12112743809571,41.00746489328588,27.460668668770424,60.02235885685,76.99727491431499,48.76288207151992,58.127220234749956,82.6698153337639
21,UP,2.1682395428052126,3692.445,b'stance0001',b'stride0002',b'stance0002',b'stride0002',251.11186795634038,,,264.96577120770456,,76.56340251617075,,42.14279153368535,33.126848044679086,,,,,52.9146096049417,,78.47295158499064,,34.10451953120712,,34.10451953120712,,24.761288409241132,,-2.0538029314284074,150.58652585290164,155.6225844305411,152.278781337902,177.665462442793,95.13687032954917,113.99075341677214,118.51579415441286,130.97438812321937,72.14841186920333,56.51155151320628,47.72458486599521,51.7202831337418,34.485687161661986,39.35574679568399,31.41834863978256,70.55286558134596,63.617186282542825,41.778308930193006,70.62544036629342,83.27659537993988
22,UP,1.1501335295294042,3790.115,b'stance0001',b'stride0002',b'stance0002',b'stride0002',251.11186795634038,,,264.96577120770456,,64.82889014159959,,33.59086698830334,33.126848044679086,,,,,52.9146096049417,,78.47295158499064,,34.10451953120712,,34.10451953120712,,24.761288409241132,,-2.0538029314284074,150.7552622855028,165.17552303932575,149.1351456148569,176.88170492914082,125.31669228944219,121.06992446166993,129.40050115586075,133.04742770173823,66.62741898845218,43.285561998044365,50.33592773994721,57.02112519183769,40.16941328865315,41.97730466665225,17.119516615349873,82.95675457392768,60.47496811812568,47.06317337726488,69.39936718258144,83.50920899284269
23,UP,4.533176743723607,3596.0950000000003,b'stride0002',b'stride0002',b'stance0002',b'stride0002',251.11186795634038,263.66163344305124,,264.96577120770456,165.22149544754893,58.80987020256149,,32.878241000671096,,,,,,52.9146096049417,,78.47295158499064,30.659530421887453,34.10451953120712,,34.10451953120712,26.705384580941555,24.761288409241132,,-2.0538029314284074,146.50679972038066,174.59894516572072,133.86922604052612,177.87223404722664,143.6343440020714,122.86490599486689,148.24318016983727,123.14111493863821,61.592223057005434,57.956836021779694,64.9352400103403,51.98984741593184,40.03543246357611,44.93768145761932,39.35220721775024,55.49849902490906,79.71061886787928,46.636060318745464,61.371570860769836,80.50448312492449
24,UP,7.694756534577342,3520.33,b'stride0002',b'stride0002',b'stride0003',b'stance0002',251.11186795634038,263.66163344305124,230.93307628346466,,156.7444879001762,72.50956997748065,144.8985925876467,,,,,101.82403868432931,,52.9146096049417,105.82687395121935,,30.659530421887453,34.10451953120712,29.381528033180707,,26.705384580941555,24.761288409241132,-11.273702819049248,,154.70245945462057,156.92561652943098,129.13348925736838,177.5924633245236,171.74246811743134,119.57684913309294,140.53286532120464,108.51900033977495,61.88525856219198,76.34897142190864,70.950874301778,68.50990732154652,45.15140343082078,34.808791193625055,35.90452264662765,41.23451224148084,51.07711395968674,32.92327351120168,64.82069172678412,80.19331944349085
25,UP,10.85599085944436,3620.59,b'stride0002',b'stance0002',b'stride0003',b'stance0002',,263.66163344305124,230.93307628346466,,152.44365518432997,,137.76526303438348,,,35.8011404147247,,101.82403868432931,,,105.82687395121935,,30.659530421887453,,29.381528033180707,,26.705384580941555,,-11.273702819049248,,150.61696173769695,163.8138411695244,134.89598625313823,178.25688538437743,168.49015376977763,109.26540918652881,117.78793073489285,103.09666742649837,13.437828932973199,2.398176433751971,64.71524157156104,68.59513294510039,47.636526279772234,40.89378328953933,39.51238371747268,45.31162614781094,58.963476593633914,40.78426111169313,59.03659458101974,79.93019856798743
26,UP,11.2936435535621,,b'stride0002',b'stance0002',b'stride0003',b'stance0002',,263.66163344305124,230.93307628346466,,141.66997412519515,,118.79750738951017,,,35.8011404147247,,101.82403868432931,,,105.82687395121935,,30.659530421887453,,29.381528033180707,,26.705384580941555,,-11.273702819049248,,144.39038281703844,149.70860294639485,142.42044818398784,177.18190803609593,169.31819312204544,96.27793280200245,97.44689820233168,111.83320623453639,4.142232294178864,24.877725910734682,50.63670524992462,72.46074992302502,47.59451945294681,38.030021189404444,38.38638313193639,40.364219424719685,42.50729747483986,41.96352625999757,66.2177633020217,75.4822866964141
27,UP,12.78249796710839,4396.19,b'stride0002',b'stance0002',b'stride0003',b'stance0002',,263.66163344305124,230.93307628346466,,121.96047516103415,,95.55623905937419,,,35.8011404147247,,101.82403868432931,,,105.82687395121935,,30.659530421887453,,29.381528033180707,,26.705384580941555,,-11.273702819049248,,155.19076477201799,139.43839582553449,159.7923603885041,176.9355255347983,163.06653294564504,85.41267460805362,87.78175758224099,108.57929624039231,29.139747951270273,25.81629069950986,5.727062325701009,70.75777670111053,48.08288500735836,39.78126573585954,35.21502379244658,34.23656726320473,55.11619295041138,36.78092839987765,67.03047560421508,75.29176281926829
28,UP,10.430649706682827,3755.15,b'stride0002',b'stance0002',b'stride0003',b'stance0002',,263.66163344305124,230.93307628346466,,108.41915359171493,,76.16753217850206,,,35.8011404147247,,101.82403868432931,,,105.82687395121935,,30.659530421887453,,29.381528033180707,,26.705384580941555,,-11.273702819049248,,164.16612927365924,146.2335421166651,176.71301864374414,171.16008995157324,149.74793308340378,89.72108729596546,92.66275148821629,116.5534067532343,47.24701529901291,32.62377816940044,48.46191849469628,71.31556087394812,43.10662625099096,43.40266448704316,35.450805051230375,44.53182099084952,50.74728842326066,37.54283243973235,70.24436264357018,72.78211995469124
29,UP,10.021918739480615,4034.505,b'stride0002',b'stance0002',b'stride0003',b'stance0002',,263.66163344305124,230.93307628346466,,86.84006250597353,,58.79241385877885,,,35.8011404147247,,101.82403868432931,,,105.82687395121935,,30.659530421887453,,29.381528033180707,,26.705384580941555,,-11.273702819049248,,170.921183337988,145.8213766876704,177.88207330357162,173.49927264711386,144.6631163103857,88.03192205034762,103.93462568964367,127.4051418688111,48.22070015022842,42.20885581717022,39.192368504387204,68.7001808529702,42.471690399883975,41.106161940460744,41.48074434826884,44.329681222817065,69.15911172819618,39.2171232524838,69.23056664357816,75.27324044607549
30,UP,7.8930731671102645,4057.855,b'stride0002',b'stance0002',b'stride0003',b'stance0002',,263.66163344305124,230.93307628346466,,72.41175535520718,,42.774456302637766,,,35.8011404147247,,101.82403868432931,,,105.82687395121935,,30.659530421887453,,29.381528033180707,,26.705384580941555,,-11.273702819049248,,170.1785425430732,153.09014791879378,176.79176459860344,167.41021226725292,135.14375767264417,97.41802177056113,104.87468287774094,135.85757348131315,32.79458052234006,52.44225522021404,68.47072608095655,69.57017169535705,45.979552328432106,39.36867022716983,34.92408224237624,56.03815421752313,79.67896015383968,39.39004954637126,71.31205285488261,79.34587105238914
31,UP,4.121907474395748,3660.57,b'stride0002',b'stance0002',b'stride0003',b'stride0003',,263.66163344305124,230.93307628346466,275.3489543524933,60.26675657122642,,34.31916407763431,133.79989722895846,,35.8011404147247,,,,,105.82687395121935,78.82632114700118,30.659530421887453,,29.381528033180707,32.5509518591975,26.705384580941555,,-11.273702819049248,-10.241161577416847,179.72295714137033,146.7003403605009,174.90700554610984,148.79625351033405,129.1196977442747,112.44019898604662,120.63019779884205,151.7711363101299,47.11442861855114,56.98690673871634,60.12393473104991,72.17212623903914,46.17563372111181,41.77634793878876,40.47984963974699,60.814534892145765,84.67947404819267,40.48405862479855,68.03655657252021,76.43681799541653
32,UP,0.5612394557411903,3890.8450000000003,b'stride0002',b'stance0002',b'stride0003',b'stride0003',,263.66163344305124,230.93307628346466,275.3489543524933,52.64828930366156,,16.54099735099038,154.40687757671918,,35.8011404147247,,,,,105.82687395121935,78.82632114700118,30.659530421887453,,29.381528033180707,32.5509518591975,26.705384580941555,,-11.273702819049248,-10.241161577416847,,150.6936713323556,146.71257963432222,124.65543914665669,,138.44246559799797,113.13295159826386,169.472349219421,61.66143922961144,66.40904362878973,47.52216350411796,75.62310587180423,50.09465032395839,44.65369570607902,47.78854204857652,56.45088681339479,87.23883008637625,34.12916242738009,62.43596313589958,80.71009481129511
33,UP,4.735812962033088,3195.5699999999997,b'stride0002',b'stance0002',b'stride0003',b'stride0003',,263.66163344305124,230.93307628346466,275.3489543524933,58.75150962667854,,12.554001774254798,156.9701932781125,,35.8011404147247,,,,,105.82687395121935,78.82632114700118,30.659530421887453,,29.381528033180707,32.5509518591975,26.705384580941555,,-11.273702819049248,-10.241161577416847,177.76150817801258,136.478337390148,147.8038319047878,124.1615476661759,133.30038353564277,154.3702582795995,103.13043755983428,157.8280711819977,67.01003401993555,56.99663150237956,58.09881164027906,85.07973282997166,43.401211855464396,44.488502403013314,43.955559059307234,54.5756677154381,88.44127597845778,14.176524549682073,42.23013685395545,73.83476623266162
34,UP,6.431890439391636,3470.555,b'stride0002',b'stride0003',b'stance0003',b'stride0003',256.74461260637196,263.66163344305124,,275.3489543524933,68.18927371433418,162.294526614501,,145.18691549339556,,,98.10970941627697,,,73.94716337666519,,78.82632114700118,30.659530421887453,29.125562109751634,,32.5509518591975,26.705384580941555,21.982293029128442,,-10.241161577416847,,134.07140759105783,156.91397481773794,137.9368853299179,,171.22627961196903,96.4238935393685,131.7371971598107,69.71769133819983,63.57219066476916,46.289455870604755,42.73309745355413,37.60539638668052,75.28383257750237,40.37778386866187,76.60676810929506,65.42689302044838,30.832038286506837,37.654358749528726,59.4029729976387
35,UP,7.603901726671431,4110.3099999999995,b'stance0002',b'stride0003',b'stance0003',b'stride0003',256.74461260637196,,,275.3489543524933,,151.7894205396005,,130.40905841482393,27.589407351044596,,98.10970941627697,,,73.94716337666519,,78.82632114700118,,29.125562109751634,,32.5509518591975,,21.982293029128442,,-10.241161577416847,167.63370479851358,147.98958295011442,155.981420075299,142.92965344135968,117.73202352518751,179.1135306346948,89.84627558310541,115.0401372087344,72.82528063170498,62.18491836791768,53.974615589299745,16.11690212401642,21.705955770779926,81.59757357439298,42.5199782697392,69.93062835136075,75.46509764411152,39.16727778994625,35.383751484104074,52.71706694264808
36,UP,9.369577261848665,3354.26,b'stance0002',b'stride0003',b'stance0003',b'stride0003',256.74461260637196,,,275.3489543524933,,143.38477608496365,,112.0973075984079,27.589407351044596,,98.10970941627697,,,73.94716337666519,,78.82632114700118,,29.125562109751634,,32.5509518591975,,21.982293029128442,,-10.241161577416847,163.1386110798193,127.14566135766339,169.01433373038697,152.98139378216072,114.44341351433326,171.03333961172248,90.41575857960649,109.94437784170954,70.90129396945144,57.39481759909716,58.76346149939925,30.14529309656176,34.76730654889244,7.226820573031347,38.91150218733114,67.07945799008117,71.08508237960619,35.803459547697805,34.293362802534254,56.56907765234791
37,UP,10.776025155962468,3638.175,b'stance0002',b'stride0003',b'stance0003',b'stride0003',256.74461260637196,,,275.3489543524933,,132.86921514695862,,90.99347048629275,27.589407351044596,,98.10970941627697,,,73.94716337666519,,78.82632114700118,,29.125562109751634,,32.5509518591975,,21.982293029128442,,-10.241161577416847,159.2104603042891,131.49567540442794,175.66403738157402,158.8632672468512,99.27627496959825,145.23725523103946,87.76639943204978,116.75643634386618,71.10433655560959,58.02167725147629,54.397920681912915,29.079854645909926,40.134824972477865,45.64381075197214,30.58060482955794,70.232919954701,67.71288789362961,52.506978562669396,31.169804250425525,66.27065461586568
