,direction_of_climbing,body_deflection_angle,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,speed_PXperS,step-length_FL,step-length_FR,step-length_HR,step-length_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,cranial_bA,prox_bA,tip_bA,prox_dist,dist_bA,cranial_caudal,amplitude_Spine_A,amplitude_Spine_B,amplitude_Spine_C,amplitude_Tail_A,amplitude_Tail_B,amplitude_Tail_C,amplitude_Tail_Tip
72,DOWN,2.7659758334388584,b'swing0002',b'swing0001',b'nan',b'nan',1065.525,12.352176938104666,,,,7.874049019368428,5.899154401914124,,,-0.7570972446678335,22.381889488844788,44.74923199510747,-32.19254031144676,54.57442980029155,-1.6046925536932792,1.594771593273501,0.8048032220400714,,,28.50888200837687,,164.56313768419483
73,DOWN,2.137232215844733,b'swing0002',b'swing0001',b'nan',b'nan',349.03999999999996,12.352176938104666,,,,7.874049019368428,5.899154401914124,,,-1.3495770997102103,,44.74975695414479,,,-2.8978810950193923,2.882978819550725,1.440844532361444,,,,,164.3213392242736
74,DOWN,2.0642634193935976,b'stance0002',b'swing0001',b'nan',b'nan',708.525,,,,,,5.899154401914124,,,-2.2148340458726006,,,,,-4.618459307808287,2.866739320439803,2.3296697520361405,,,,,
75,DOWN,0.8807886014785709,b'stance0002',b'swing0001',b'nan',b'nan',879.7550000000001,,,,,,5.899154401914124,,,-1.9773485020809127,24.16708391689658,,,,-4.224042315891109,3.461737133970249,2.200464405285753,,,28.874251883046533,,
76,DOWN,0.1081259112038424,b'stance0002',b'swing0001',b'nan',b'nan',577.625,,,,,,5.899154401914124,,,-3.69373346692207,,,,,-7.557756905312291,4.897590706758855,3.9379679992364083,,,,,
77,DOWN,0.5957603662355382,b'stance0002',b'swing0001',b'nan',b'nan',225.26999999999998,,,,,,5.899154401914124,,,-4.581150314166808,,,,,-9.462878376745305,5.456813918586813,4.87908515462782,,,,,
78,DOWN,1.0885631373850515,b'stance0002',b'swing0001',b'nan',b'nan',354.485,,,,,,5.899154401914124,,,-5.235681218147223,,,,,-10.733175608050459,5.672670919703541,5.47532135444985,,,,,
79,DOWN,1.3562582582953837,b'stance0002',b'swing0001',b'nan',b'nan',582.065,,,,,,5.899154401914124,,,-4.6634096067591075,,,,,-9.499222435929061,5.720621307638988,4.864706061442822,,,,,
80,DOWN,0.6493200710702922,b'stance0002',b'swing0001',b'nan',b'nan',591.705,,,,,,5.899154401914124,,,-5.402652623337521,,,,,-11.080414983452831,5.81191023892716,5.70610479370811,,,,,
81,DOWN,0.20688445400764977,b'stance0002',b'swing0001',b'nan',b'nan',398.90999999999997,,,,,,5.899154401914124,,,-6.006144916693035,,,,,-12.31642877138183,4.417575022099461,6.3036338576646855,11.498615762197604,,,,
82,DOWN,0.12399536919150478,b'stance0002',b'swing0001',b'nan',b'nan',395.92,,,,,,5.899154401914124,,,-5.566118436458439,,,,,-11.565774227551309,5.002610204094875,5.846723111717578,11.742696962915355,,,,
83,DOWN,0.48919232911475774,b'stance0002',b'swing0001',b'nan',b'nan',190.19,,,,,,5.899154401914124,,,-5.43149191774741,,,,,-11.517402230716167,4.822858192942916,5.766133054441545,12.612003789427625,,,,
84,DOWN,1.076698343097604,b'stance0002',b'swing0001',b'nan',b'nan',370.08,,,,,,5.899154401914124,,,-5.637185381723398,,,,,-11.977569382995727,5.686917696322179,6.033884240829264,13.281800673702913,,,,
85,DOWN,0.9764285993593376,b'stance0002',b'swing0001',b'nan',b'nan',353.505,,,,,,5.899154401914124,,,-5.465436819285019,,,,,-11.671261614892526,5.668452578105268,5.8717014739204885,11.03687348087818,,,,
86,DOWN,1.5103494081216695,b'stance0002',b'swing0001',b'nan',b'nan',494.27500000000003,,,,,,5.899154401914124,,,-5.36030337122475,,,,,-11.603236119135245,5.123647975416327,5.846277774660473,14.250426336171792,,,,
87,DOWN,1.78210717997365,b'stance0002',b'swing0001',b'nan',b'nan',574.79,,,,,,5.899154401914124,,,-5.0728998407026635,,,,,-11.0679743835836,4.550855916799677,5.549315076187452,12.248992572717313,,,,
88,DOWN,1.9103420576122403,b'stance0002',b'swing0001',b'nan',b'nan',487.245,,,,,,5.899154401914124,,,-5.66442518740105,,,,,-12.092370522786418,4.853444234223442,6.041354801310292,12.265032195417616,,,,
89,DOWN,1.4331333519688485,b'stance0002',b'stance0002',b'nan',b'nan',667.5899999999999,,,,,,,,,-4.696333835178589,27.99432558271107,,,,-10.154133448179707,3.096660961791841,5.179461837515727,,,36.2024242000483,,
90,DOWN,0.9019389742974226,b'stance0002',b'stance0002',b'nan',b'nan',843.385,,,,,,,,,-4.360816077531139,,,,,-9.535058723497636,1.7300311658218621,4.729659227341677,14.391099960843986,,,,
91,DOWN,1.0817987235712394,b'swing0003',b'stance0002',b'nan',b'nan',459.76,,,,,5.424758994075987,,,,-4.3227562630243845,,,,,-9.642340385992117,1.4092282586843414,4.659387860266583,6.2143774334497035,4.080528910440017,,,
92,DOWN,0.6482257625455077,b'swing0003',b'stance0002',b'nan',b'nan',344.54,,,,,5.424758994075987,,,,-3.937151156354609,31.65340835731446,,,,-8.504170794206418,1.3285343891727008,4.15544799001954,5.753503680148647,,45.31336644427785,,
93,DOWN,0.10087794858597476,b'swing0003',b'stance0002',b'nan',b'nan',401.145,,,,,5.424758994075987,,,,-3.6943475209397305,33.406493622784424,,,,-7.9166257308179615,1.6414200598925142,3.893450486196427,6.139740071282937,,47.42101377295114,,
94,DOWN,1.003679060138154,b'swing0003',b'stance0002',b'nan',b'nan',511.65,,,,,5.424758994075987,,,,-4.056896727717774,33.78633826226931,,,,-8.57746196525416,0.8968907935314054,4.145197885009295,6.102294705361501,,48.10231843721136,,
95,DOWN,0.8500012730114861,b'swing0003',b'stance0002',b'nan',b'nan',563.86,,,,,5.424758994075987,,,,-4.873210358038474,,,,,-10.388652846871972,1.9924372034726234,5.169255659579869,6.80099358410994,,,,
96,DOWN,1.0268241909972176,b'swing0003',b'stance0002',b'nan',b'nan',765.415,,,,,5.424758994075987,,,,-5.441595869704805,,,,,-11.900161144935101,2.234414692605692,5.89235167966193,7.873459944428786,,,,
97,DOWN,0.09767617397008621,b'swing0003',b'stance0002',b'nan',b'nan',383.685,,,,,5.424758994075987,,,,-3.623741407348383,,49.26540873024378,,,-7.917976126550915,2.2740026320261237,3.9541633644386476,5.639913130988487,,,,149.39165498885797
