,direction_of_climbing,body_deflection_angle,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,speed_PXperS,step-length_FL,step-length_FR,step-length_HR,step-length_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,cranial_bA,prox_bA,tip_bA,prox_dist,dist_bA,cranial_caudal,amplitude_Spine_A,amplitude_Spine_B,amplitude_Spine_C,amplitude_Tail_A,amplitude_Tail_B,amplitude_Tail_C,amplitude_Tail_Tip
86,UP,7.270523306282971,b'stance0001',b'swing0002',b'stance0001',b'stance0001',46.754999999999995,,,,,,19.635389472781284,,,-8.525752151065506,,,,,-18.531465463069875,5.947149502018139,9.128475220457839,8.120756689236469,7.154281877801701,,,
87,UP,7.249223124830418,b'stance0001',b'swing0002',b'stance0001',b'stance0001',73.83500000000001,,,,,,19.635389472781284,,,-8.439851904592809,,,,,-18.298613489758353,5.806240932063801,8.991651982009348,8.033533190691003,6.810646000389287,,,
88,UP,7.383768180734857,b'stance0001',b'swing0002',b'stance0001',b'stance0001',65.04,,,,,,19.635389472781284,,,-8.36612356375711,,,,,-17.95170582355966,5.438555681046647,8.83219923874343,7.9517047031677945,7.17399593417903,,,
89,UP,7.2994978497559755,b'stance0001',b'swing0002',b'stance0001',b'stance0001',69.58,,,,,,19.635389472781284,,,-8.552673810585647,,,,,-18.412267588138672,5.409241990396239,9.014680137997805,7.879942861089964,7.264016817562177,,,
90,UP,7.464268369502995,b'stance0001',b'swing0002',b'stance0001',b'stance0001',33.77,,,,,,19.635389472781284,,,-8.620446054698041,,,,,-18.715546571520306,5.499976529711307,9.144939725165699,8.006675379610478,6.913906882864991,,,
91,UP,7.393168903105353,b'stance0001',b'swing0002',b'stance0001',b'stance0001',161.235,,,,,,19.635389472781284,,,-8.666883613996989,,,,,-18.7983676769734,5.43623483131367,9.182175880769178,8.143644884914107,7.193940692340204,,0.39551497773946026,
92,UP,7.414749582754914,b'stance0001',b'swing0002',b'stance0001',b'stance0001',26.585,,,,,,19.635389472781284,,,-8.782741096068825,,,,,-18.913061715119042,5.606888386443356,9.386901834711626,8.408490654288991,7.181472291964928,,,
93,UP,7.374113708791643,b'stance0001',b'swing0002',b'stance0001',b'stance0001',134.85,,,,,,19.635389472781284,,,-8.707780545754032,,,,,-18.715218632127694,5.5887425383868266,9.306414189322428,8.253157008199954,7.985676058437448,,1.1932869323580009,
94,UP,7.383556820780017,b'stance0001',b'swing0002',b'stance0001',b'stance0001',352.875,,,,,,19.635389472781284,,,-8.745706414579422,,,,,-18.826132053091335,5.697921133256356,9.385953373965657,8.244884485083965,6.878012953601914,,1.4229034756159604,
95,UP,6.989628932981499,b'stance0001',b'swing0002',b'stance0001',b'stance0001',371.22,,,,,,19.635389472781284,,,-8.789431141363966,,,,,-18.88537489612207,5.765297101900887,9.447526187189329,8.293457242427612,7.19547725223778,,3.7261318407984514,
96,UP,7.148603810738745,b'stance0001',b'swing0002',b'stance0001',b'stance0001',648.69,,,,,,19.635389472781284,,,-9.225654192152431,,,,,-19.621633571850527,5.9455531180584495,9.691749682822667,8.522656536527744,5.34931515848523,,3.9457370319499043,
97,UP,6.5806340371826275,b'stance0001',b'swing0002',b'stance0001',b'stance0001',895.435,,,,,,19.635389472781284,,,-9.150043187949558,,,,,-19.473578708347596,5.7386480212769095,9.59501445315892,8.884120628329882,6.449350927156455,,3.475806481871218,
98,UP,5.259332289267358,b'stance0001',b'swing0002',b'stance0001',b'swing0001',775.75,,,,,,19.635389472781284,,16.88705399708956,-8.552116724709064,,,,,-18.153847537888847,5.935289334830301,8.798784206946344,7.551684266933432,8.012474799376534,,,
99,UP,5.223169184692402,b'stance0001',b'swing0002',b'stance0001',b'swing0001',791.36,,,,,,19.635389472781284,,16.88705399708956,-7.843423147563906,,,,,-16.43168385641367,5.134919628816086,8.03202055278568,7.88668599394875,7.423138553627691,,,
100,UP,5.4068036460096955,b'stance0001',b'swing0002',b'stance0001',b'swing0001',908.96,,,,,,19.635389472781284,,16.88705399708956,-6.2571797885396245,,,,,-13.270670977155563,4.486948573885394,6.668863269237643,6.281774783515719,6.76667009545985,,,
101,UP,5.773193591333127,b'stance0001',b'swing0002',b'stance0001',b'swing0001',1281.81,,,,,,19.635389472781284,,16.88705399708956,-4.128317252938026,,,,,-8.527006775346784,2.6505610067174765,4.301401718227489,5.591328885299188,6.244138697163444,,,
102,UP,6.101899311336892,b'stance0001',b'swing0002',b'stance0001',b'swing0001',1712.65,,,,,,19.635389472781284,,16.88705399708956,-2.3285952820448275,,,,,-4.765516624740391,0.21806942070704505,2.3841535543211605,3.7804615220000346,4.93506569484062,,,
103,UP,6.435828052233569,b'stance0001',b'swing0002',b'stance0001',b'swing0001',1005.3399999999999,,,,,,19.635389472781284,,16.88705399708956,-1.5875947568417763,,,,,-3.249072158935731,1.1056259058042028,1.6582502700809814,4.44196177069871,3.6815419629462656,,,
104,UP,7.417622731142636,b'stance0001',b'swing0002',b'stance0001',b'swing0001',2933.615,,,,,,19.635389472781284,,16.88705399708956,1.2512892082498552,,,,,2.4524256687514265,1.8426579438486224,1.2468662025879294,2.145179500187676,1.4954946550825858,,4.5986261932995145,
105,UP,8.313344232730929,b'stance0001',b'swing0002',b'stance0001',b'swing0001',2347.02,,,,,,19.635389472781284,,16.88705399708956,4.661461768906628,,,,,8.774407976650275,2.9919750154336935,4.27574866675643,0.007484658651360102,0.861693518735607,,3.7420216774616826,
