,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL
49,UP,,2080.4,b'stance0003',b'stride0003',b'stance0003',b'stride0005',6.5118367393824235,,,809.0424698383686,,,,,19.175431980729556,,55.431562497171946,,,,,,,,,,,,,,,,27.16528647515142,,,,109.31083209064943,
50,UP,,1696.975,b'stance0003',b'stride0003',b'stance0003',b'stride0005',6.5118367393824235,,,809.0424698383686,,,,,19.175431980729556,,55.431562497171946,,,,,,,,,,,,,,,,26.45688030864875,,,,108.27789073919146,
51,UP,,1959.5549999999998,b'stance0003',b'stance0003',b'stance0003',b'stride0005',,,,809.0424698383686,,,,,19.175431980729556,,55.431562497171946,,,,,,,,,,,,,,,,26.542539115672156,,,,107.3978872303193,
52,UP,,1982.295,b'stance0003',b'stride0004',b'stance0003',b'stride0005',5.020291236015567,,,809.0424698383686,,,,,19.175431980729556,,55.431562497171946,,,,,,,,,,,,,,,,22.407891024202968,,,,106.77454313836496,
53,UP,4.722645232430551,1856.51,b'stride0004',b'stride0004',b'stance0003',b'stride0005',5.020291236015567,0.0,,809.0424698383686,31.335254652626798,136.04338812018094,,,,,55.431562497171946,,,,,,,,,,,,,,,,20.00508508532306,,,,105.6055802824245,
54,UP,,1437.65,b'stance0004',b'stance0004',b'stance0003',b'stride0005',,,,809.0424698383686,,,,,16.6376115647024,42.18795747743972,55.431562497171946,,,,,,,,,,,,,,,,,,,,105.79073590997308,
55,UP,,1617.25,b'stance0004',b'stance0004',b'stance0003',b'stride0005',,,,809.0424698383686,,,,,16.6376115647024,42.18795747743972,55.431562497171946,,,,,,,,,,,,,,10.150106113672848,,,,1.7802973609559274,,104.57918970321936,
56,UP,,1890.61,b'stance0004',b'stance0004',b'stance0003',b'stride0005',,,,809.0424698383686,,,,,16.6376115647024,42.18795747743972,55.431562497171946,,,,,,,,,,,,,,,,,,1.9595020025943484,,101.88712699152774,
57,UP,,1431.31,b'stance0004',b'stance0004',b'stance0003',b'stride0005',,,,809.0424698383686,,,,,16.6376115647024,42.18795747743972,55.431562497171946,,,,,,,,,,,,,,9.146211857729526,,,,4.0527031811204495,,103.54279247037408,76.89152831672862
58,UP,,1834.04,b'stance0004',b'stance0004',b'stance0003',b'stride0005',,,,809.0424698383686,,,,,16.6376115647024,42.18795747743972,55.431562497171946,,,,,,,,,,,,,,,139.17507429286596,,,,,,
59,UP,,2174.62,b'stance0004',b'stride0005',b'stance0003',b'stride0005',237.83317281223177,,,809.0424698383686,,,,,16.6376115647024,,55.431562497171946,,,,,,,,,,,,,,,143.46195844259245,,,,124.41749284600603,,
60,UP,,1907.61,b'stance0004',b'stride0005',b'stance0003',b'stride0005',237.83317281223177,,,809.0424698383686,,,,,16.6376115647024,,55.431562497171946,,,,,,,,,,,,,,,152.757161468561,,,,13.120710514916055,,
61,UP,,1690.82,b'stance0004',b'stance0005',b'stance0003',b'stride0005',,,,809.0424698383686,,,,,16.6376115647024,45.69387566569105,55.431562497171946,,,,,,,,,,,,,,,150.11563113674757,,,,10.580745319443452,,
62,UP,,1989.53,b'stance0004',b'stance0005',b'stance0003',b'stride0005',,,,809.0424698383686,,,,,16.6376115647024,45.69387566569105,55.431562497171946,,,,,,,,,,,,,,,155.784975503647,,,,8.466673680162188,,20.15049865896262
